date,temperature,humidity,luminosity,pressure
2022-11-17 15:19:58.982,26.0,32.2,190,1014.0
2022-11-17 15:19:53.939,26.0,32.2,184,1014.0
2022-11-17 15:19:48.895,26.0,32.1,192,1014.0
2022-11-17 15:19:43.852,25.9,32.2,193,1014.0
2022-11-17 15:19:38.808,25.9,32.3,194,1014.0
2022-11-17 15:19:33.764,25.9,32.2,182,1014.0
2022-11-17 15:19:28.720,25.9,32.2,181,1014.0
2022-11-17 15:19:23.676,25.9,32.3,203,1014.0
2022-11-17 15:19:18.634,25.9,32.4,206,1014.0
2022-11-17 15:19:13.589,25.9,32.4,198,1014.0
2022-11-17 15:19:08.546,25.9,32.5,200,1014.0
2022-11-17 15:19:03.502,25.9,32.4,199,1014.0
2022-11-17 15:18:58.458,25.9,32.5,201,1014.0
2022-11-17 15:18:53.414,25.9,32.5,199,1014.0
2022-11-17 15:18:48.371,25.9,32.4,197,1014.0
2022-11-17 15:18:43.327,25.9,32.6,194,1014.0
2022-11-17 15:18:38.283,25.9,32.6,205,1014.0
2022-11-17 15:18:33.239,25.9,32.6,204,1014.0
2022-11-17 15:18:28.196,25.9,32.6,202,1014.0
2022-11-17 15:18:23.153,25.9,32.6,205,1014.0
2022-11-17 15:18:18.110,25.9,32.6,205,1014.0
2022-11-17 15:18:13.067,25.8,32.7,202,1014.0
2022-11-17 15:18:08.023,25.9,32.7,200,1014.0
2022-11-17 15:18:02.980,25.8,32.6,206,1014.0
2022-11-17 15:17:57.937,25.8,32.7,206,1014.0
2022-11-17 15:17:52.892,25.8,32.8,205,1014.0
2022-11-17 15:17:47.849,25.8,32.8,205,1014.0
2022-11-17 15:17:42.805,25.8,32.8,206,1014.0
2022-11-17 15:17:37.762,25.8,32.8,175,1014.0
2022-11-17 15:17:32.719,25.7,32.8,207,1014.0
2022-11-17 15:17:27.677,25.7,32.9,207,1014.0
2022-11-17 15:17:22.634,25.7,32.9,204,1014.0
2022-11-17 15:17:17.591,25.7,32.8,207,1014.0
2022-11-17 15:17:12.548,25.8,32.7,206,1014.0
2022-11-17 15:17:07.505,25.7,32.8,200,1014.0
2022-11-17 15:17:02.461,25.7,32.8,204,1014.0
2022-11-17 15:16:57.418,25.7,32.8,205,1014.0
2022-11-17 15:16:52.375,25.7,33.1,207,1014.0
2022-11-17 15:16:47.332,25.7,33.2,208,1014.0
2022-11-17 15:16:42.290,25.7,33.1,203,1014.0
2022-11-17 15:16:37.246,25.7,33.2,204,1014.0
2022-11-17 15:16:32.203,25.7,33.2,206,1014.0
2022-11-17 15:16:27.159,25.7,33.0,207,1014.0
2022-11-17 15:16:22.115,25.7,33.1,210,1014.0
2022-11-17 15:16:17.071,25.7,33.2,208,1014.0
2022-11-17 15:16:12.028,25.7,33.3,213,1014.0
2022-11-17 15:16:06.985,25.7,33.5,213,1014.0
2022-11-17 15:16:01.943,25.7,33.7,210,1014.0
2022-11-17 15:15:56.899,25.7,33.9,209,1014.0
2022-11-17 15:15:51.856,25.7,33.9,213,1014.0
2022-11-17 15:15:46.813,25.7,34.0,215,1014.0
2022-11-17 15:15:41.770,25.7,34.0,215,1014.0
2022-11-17 15:15:36.727,25.7,33.8,214,1014.0
2022-11-17 15:15:31.684,25.7,33.8,208,1014.0
2022-11-17 15:15:26.640,25.7,33.9,213,1013.9
2022-11-17 15:15:21.597,25.6,33.9,219,1013.9
2022-11-17 15:15:16.554,25.6,34.0,219,1013.9
2022-11-17 15:15:11.511,25.6,33.9,217,1013.9
2022-11-17 15:15:06.467,25.6,33.9,221,1014.0
2022-11-17 15:15:01.425,25.6,34.1,221,1013.9
2022-11-17 15:14:56.382,25.6,34.3,216,1013.9
2022-11-17 15:14:51.339,25.6,34.7,221,1014.0
2022-11-17 15:14:46.296,25.6,35.1,222,1013.9
2022-11-17 15:14:41.253,25.6,35.6,220,1014.0
2022-11-17 15:14:36.209,25.5,36.1,221,1014.0
2022-11-17 15:14:31.166,25.6,36.5,221,1014.0
2022-11-17 15:14:26.123,25.6,37.2,221,1014.0
2022-11-17 15:14:21.079,25.6,38.4,221,1013.9
2022-11-17 15:14:16.036,25.5,39.7,220,1013.9
2022-11-17 15:14:10.993,25.6,41.3,220,1013.9
2022-11-17 15:14:05.950,25.5,43.2,221,1013.9
2022-11-17 15:14:00.907,25.5,43.0,700,1014.0
2022-11-17 15:13:55.864,25.5,42.0,188,1014.0
2022-11-17 15:13:50.821,25.5,40.9,222,1014.0
2022-11-17 15:13:45.778,25.4,40.8,125,1014.0
2022-11-17 15:13:40.735,25.3,38.7,369,1014.0
2022-11-17 15:13:35.692,25.4,39.5,35,1014.0
2022-11-17 15:13:30.650,25.3,38.5,17,1014.0
2022-11-17 15:13:25.607,25.4,37.8,85,1014.0
2022-11-17 15:13:20.564,25.3,37.0,674,1014.0
2022-11-17 15:13:15.521,25.3,36.3,710,1014.0
2022-11-17 15:13:10.478,25.3,35.3,51,1014.0
2022-11-17 15:13:05.435,25.3,33.4,701,1014.0
2022-11-17 15:13:00.393,25.3,32.7,836,1013.9
2022-11-17 15:12:55.349,25.3,32.7,704,1013.9
2022-11-17 15:12:50.307,25.4,32.6,88,1013.9
2022-11-17 15:12:45.264,25.4,32.6,95,1013.9
2022-11-17 15:12:40.221,25.4,32.7,99,1014.0
2022-11-17 15:12:35.177,25.4,32.7,99,1013.9
2022-11-17 15:12:30.133,25.4,32.7,99,1013.9
2022-11-17 15:12:25.090,25.4,32.7,99,1013.9
2022-11-17 15:12:20.047,25.4,32.9,96,1014.0
2022-11-17 15:12:15.004,25.4,32.9,100,1014.0
2022-11-17 15:12:09.961,25.4,32.9,99,1013.9
2022-11-17 15:12:04.917,25.4,32.8,100,1014.0
2022-11-17 15:11:59.873,25.4,32.9,99,1013.9
2022-11-17 15:11:54.830,25.4,32.7,100,1013.9
2022-11-17 15:11:49.786,25.4,32.7,100,1014.0
2022-11-17 15:11:44.742,25.4,32.7,100,1013.9
2022-11-17 15:11:39.698,25.3,32.7,99,1013.9
2022-11-17 15:11:34.654,25.4,32.7,100,1013.9
2022-11-17 15:11:29.610,25.4,32.6,100,1013.9
2022-11-17 15:11:24.566,25.4,32.6,100,1014.0
2022-11-17 15:11:19.523,25.4,32.6,100,1014.0
2022-11-17 15:11:14.479,25.4,32.6,100,1013.9
2022-11-17 15:11:09.436,25.4,32.7,99,1014.0
2022-11-17 15:11:04.392,25.4,32.7,99,1013.9
2022-11-17 15:10:59.349,25.3,32.8,99,1013.9
2022-11-17 15:10:54.306,25.4,32.8,100,1013.9
2022-11-17 15:10:49.263,25.4,32.9,99,1013.9
2022-11-17 15:10:44.219,25.3,32.9,100,1013.9
2022-11-17 15:10:39.175,25.3,33.0,99,1013.9
2022-11-17 15:10:34.132,25.3,33.0,100,1013.9
2022-11-17 15:10:29.089,25.3,32.9,99,1013.9
2022-11-17 15:10:24.045,25.3,32.9,99,1013.9
2022-11-17 15:10:19.001,25.3,32.9,99,1013.9
2022-11-17 15:10:13.957,25.3,32.8,100,1014.0
