date,temperature,humidity,luminosity
2022-11-10 16:22:29.732,22.3,36.4,12
2022-11-10 16:22:28.732,22.3,36.4,12
2022-11-10 16:22:27.453,22.3,36.3,12
2022-11-10 16:22:26.451,22.3,36.3,12
2022-11-10 16:22:25.177,22.3,36.4,12
2022-11-10 16:22:24.172,22.3,36.4,12
2022-11-10 16:22:22.894,22.2,36.2,12
2022-11-10 16:22:21.895,22.2,36.2,12
2022-11-10 16:22:20.617,22.2,36.2,12
2022-11-10 16:22:19.613,22.2,36.2,12
2022-11-10 16:22:18.339,22.3,36.3,12
2022-11-10 16:22:17.336,22.3,36.3,12
2022-11-10 16:22:16.057,22.2,36.2,12
2022-11-10 16:22:15.059,22.2,36.2,12
2022-11-10 16:22:13.780,22.3,36.3,12
2022-11-10 16:22:12.781,22.3,36.3,12
2022-11-10 16:22:11.502,22.2,36.2,12
2022-11-10 16:22:10.499,22.2,36.2,12
2022-11-10 16:22:09.224,22.2,36.1,12
2022-11-10 16:22:08.220,22.2,36.1,12
2022-11-10 16:22:06.943,22.2,36.1,12
2022-11-10 16:22:05.944,22.2,36.1,12
2022-11-10 16:22:04.665,22.2,36.1,12
2022-11-10 16:22:03.662,22.2,36.1,12
2022-11-10 16:22:02.388,22.2,36.1,12
2022-11-10 16:22:01.385,22.2,36.1,12
2022-11-10 16:22:00.110,22.3,36.2,12
2022-11-10 16:21:59.107,22.3,36.2,12
2022-11-10 16:21:57.829,22.3,36.2,12
2022-11-10 16:21:56.829,22.3,36.2,12
2022-11-10 16:21:55.550,22.3,36.2,12
2022-11-10 16:21:54.547,22.3,36.2,12
2022-11-10 16:21:53.274,22.3,36.2,12
2022-11-10 16:21:52.270,22.3,36.2,12
2022-11-10 16:21:50.992,22.3,36.3,12
2022-11-10 16:21:49.992,22.3,36.3,12
2022-11-10 16:21:48.715,22.3,36.3,12
2022-11-10 16:21:47.714,22.3,36.3,12
2022-11-10 16:21:46.436,22.3,36.4,12
2022-11-10 16:21:45.433,22.3,36.4,12
2022-11-10 16:21:44.159,22.3,36.4,12
2022-11-10 16:21:43.155,22.3,36.4,12
2022-11-10 16:21:41.877,22.3,36.4,12
2022-11-10 16:21:40.877,22.3,36.4,12
2022-11-10 16:21:39.599,22.3,36.4,12
2022-11-10 16:21:38.597,22.3,36.4,12
2022-11-10 16:21:37.322,22.3,36.4,12
2022-11-10 16:21:36.318,22.3,36.4,12
2022-11-10 16:21:35.041,22.3,36.4,12
2022-11-10 16:21:34.041,22.3,36.4,12
2022-11-10 16:21:32.763,22.3,36.4,12
2022-11-10 16:21:31.759,22.3,36.4,12
2022-11-10 16:21:30.485,22.3,36.4,12
2022-11-10 16:21:29.482,22.3,36.4,12
2022-11-10 16:21:28.207,22.4,36.5,12
2022-11-10 16:21:27.204,22.4,36.5,12
2022-11-10 16:21:25.925,22.3,36.5,12
2022-11-10 16:21:24.926,22.3,36.5,12
2022-11-10 16:21:23.648,22.3,36.5,12
2022-11-10 16:21:22.645,22.3,36.5,12
2022-11-10 16:21:21.371,22.3,36.5,12
2022-11-10 16:21:20.368,22.3,36.5,12
2022-11-10 16:21:19.089,22.3,36.5,12
2022-11-10 16:21:18.089,22.3,36.5,12
2022-11-10 16:21:16.811,22.3,36.5,12
2022-11-10 16:21:15.808,22.3,36.5,12
2022-11-10 16:21:14.533,22.3,36.5,12
2022-11-10 16:21:13.530,22.3,36.5,12
2022-11-10 16:21:12.252,22.3,36.5,12
2022-11-10 16:21:11.253,22.3,36.5,12
2022-11-10 16:21:09.975,22.3,36.5,12
2022-11-10 16:21:08.976,22.3,36.5,12
2022-11-10 16:21:07.698,22.3,36.5,12
2022-11-10 16:21:06.693,22.3,36.5,12
2022-11-10 16:21:05.420,22.3,36.5,12
2022-11-10 16:21:04.417,22.3,36.5,12
2022-11-10 16:21:03.138,22.3,36.5,12
2022-11-10 16:21:02.138,22.3,36.5,12
2022-11-10 16:21:00.861,22.3,36.5,12
2022-11-10 16:20:59.857,22.3,36.5,12
